Total configs: 256
============================================================
P2.3: 256 Sobol Train-Only Screen (XS-REV + P4 + P5)
  [57] lb=8 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [51s]
  [58] lb=8 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [50s]
  [59] lb=8 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [50s]
  [60] lb=8 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [51s]
  [61] lb=8 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [51s]
  [62] lb=8 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [51s]
  [63] lb=8 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [51s]

  Progress: 64/256
  [64] lb=8 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [51s]
  Checkpoint: 64 configs, 64 valid
  [65] lb=12 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [51s]
  [66] lb=12 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [52s]
  [67] lb=12 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [51s]
  [68] lb=12 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [52s]
  [69] lb=12 so=0.25 r=7 p=1.0 f=0.25: ann=21.00% DD=34.87% pos=5/5 [66s]
  [71] lb=12 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [51s]
  [72] lb=12 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [52s]
  [73] lb=12 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [52s]
  [74] lb=12 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [51s]
  [75] lb=12 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [51s]
  [76] lb=12 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [51s]
  [77] lb=12 so=0.5 r=7 p=1.0 f=0.25: ann=21.57% DD=21.82% pos=5/5 [67s]
  [78] lb=12 so=0.5 r=7 p=0.5 f=0.5: ann=20.18% DD=15.81% pos=5/5 [66s]
  [79] lb=12 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [51s]

  Progress: 80/256
  [80] lb=12 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [51s]
  [81] lb=12 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [51s]
  [82] lb=12 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [51s]
  [83] lb=12 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [52s]
  [84] lb=12 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [54s]
  [85] lb=12 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [53s]
  [86] lb=12 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [55s]
  [87] lb=12 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [55s]
  [88] lb=12 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [55s]
  [89] lb=12 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [58s]
  [90] lb=12 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [56s]
  [91] lb=12 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [56s]
  [92] lb=12 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [55s]
  [93] lb=12 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [54s]
  [94] lb=12 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [55s]
  [95] lb=12 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [54s]

  Progress: 96/256
  [96] lb=12 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [54s]
  Checkpoint: 96 configs, 96 valid
  [97] lb=24 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [55s]
  [98] lb=24 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [55s]
  [99] lb=24 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [56s]
  [100] lb=24 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [54s]
  [101] lb=24 so=0.25 r=7 p=1.0 f=0.25: ann=21.00% DD=34.87% pos=5/5 [71s]
  [103] lb=24 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [56s]
  [104] lb=24 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [56s]
  [105] lb=24 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [56s]
  [106] lb=24 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [56s]
  [107] lb=24 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [56s]
  [108] lb=24 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [55s]
  [109] lb=24 so=0.5 r=7 p=1.0 f=0.25: ann=21.57% DD=21.82% pos=5/5 [72s]
  [110] lb=24 so=0.5 r=7 p=0.5 f=0.5: ann=20.18% DD=15.81% pos=5/5 [72s]
  [111] lb=24 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [55s]

  Progress: 112/256
  [112] lb=24 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [57s]
  [113] lb=24 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [55s]
  [114] lb=24 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [56s]
  [115] lb=24 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [55s]
  [116] lb=24 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [55s]
  [117] lb=24 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [55s]
  [118] lb=24 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [56s]
  [119] lb=24 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [55s]
  [120] lb=24 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [58s]
Loaded 96 existing results
Remaining: 160 configs
  [96] lb=24 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [54s]
  [98] lb=24 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [53s]
  [100] lb=24 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [54s]
  [102] lb=24 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [53s]
  [108] lb=24 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [54s]
  [110] lb=24 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [54s]
  [112] lb=24 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [53s]
  [114] lb=24 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [53s]
  [116] lb=24 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [54s]
  [118] lb=24 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [54s]
  [124] lb=24 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [53s]
  Progress: 16/160 (total: 127/256)
  [126] lb=24 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [53s]
  [128] lb=24 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [54s]
  [130] lb=24 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [53s]
  [132] lb=24 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [54s]
  [134] lb=24 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [53s]
  [136] lb=24 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [54s]
  [138] lb=24 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [53s]
  [140] lb=24 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [53s]
  [142] lb=24 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [52s]
  [144] lb=24 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [54s]
  [146] lb=24 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [53s]
  [148] lb=24 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [54s]
  [150] lb=24 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [53s]
  [152] lb=24 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [54s]
  [154] lb=24 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [53s]
  [156] lb=24 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [53s]
  Progress: 32/160 (total: 159/256)
  [158] lb=24 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [53s]
  Checkpoint: 128 configs
  [160] lb=48 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [56s]
  [162] lb=48 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [57s]
  [164] lb=48 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [56s]
  [166] lb=48 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [56s]
  [172] lb=48 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [57s]
  [174] lb=48 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [57s]
  [176] lb=48 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [57s]
  [178] lb=48 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [56s]
  [180] lb=48 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [57s]
  [182] lb=48 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [57s]
  [188] lb=48 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [57s]
  Progress: 48/160 (total: 191/256)
  [190] lb=48 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [57s]
  [192] lb=48 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [57s]
  [194] lb=48 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [58s]
  [196] lb=48 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [57s]
  [198] lb=48 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [57s]
  [200] lb=48 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [57s]
  [202] lb=48 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [56s]
  [204] lb=48 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [56s]
  [206] lb=48 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [56s]
  [208] lb=48 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [56s]
  [210] lb=48 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [55s]
  [212] lb=48 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [56s]
  [214] lb=48 so=1.0 r=3 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [55s]
  [216] lb=48 so=1.0 r=7 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [55s]
  [218] lb=48 so=1.0 r=7 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [55s]
  [220] lb=48 so=1.0 r=14 p=1.0 f=0.25: ann=34.47% DD=13.46% pos=5/5 [55s]
  Progress: 64/160 (total: 223/256)
  [222] lb=48 so=1.0 r=14 p=0.5 f=0.5: ann=35.04% DD=26.06% pos=5/5 [55s]
  Checkpoint: 160 configs
  [224] lb=72 so=0.25 r=1 p=1.0 f=0.25: ann=33.67% DD=25.59% pos=5/5 [59s]
  [226] lb=72 so=0.25 r=1 p=0.5 f=0.5: ann=33.98% DD=27.35% pos=5/5 [59s]
  [228] lb=72 so=0.25 r=3 p=1.0 f=0.25: ann=33.70% DD=25.57% pos=5/5 [59s]
  [230] lb=72 so=0.25 r=3 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [59s]
  [236] lb=72 so=0.25 r=14 p=1.0 f=0.25: ann=33.71% DD=25.57% pos=5/5 [60s]
  [238] lb=72 so=0.25 r=14 p=0.5 f=0.5: ann=34.01% DD=27.29% pos=5/5 [62s]
  [240] lb=72 so=0.5 r=1 p=1.0 f=0.25: ann=34.42% DD=13.66% pos=5/5 [63s]
  [242] lb=72 so=0.5 r=1 p=0.5 f=0.5: ann=33.20% DD=27.26% pos=5/5 [64s]
  [244] lb=72 so=0.5 r=3 p=1.0 f=0.25: ann=34.45% DD=13.64% pos=5/5 [63s]
  [246] lb=72 so=0.5 r=3 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [64s]
  [252] lb=72 so=0.5 r=14 p=1.0 f=0.25: ann=34.44% DD=13.64% pos=5/5 [64s]
  Progress: 80/160 (total: 255/256)
  [254] lb=72 so=0.5 r=14 p=0.5 f=0.5: ann=33.22% DD=27.23% pos=5/5 [63s]
  [256] lb=72 so=0.75 r=1 p=1.0 f=0.25: ann=35.07% DD=13.56% pos=5/5 [62s]
  [258] lb=72 so=0.75 r=1 p=0.5 f=0.5: ann=34.70% DD=15.61% pos=5/5 [62s]
  [260] lb=72 so=0.75 r=3 p=1.0 f=0.25: ann=35.09% DD=13.55% pos=5/5 [63s]
  [262] lb=72 so=0.75 r=3 p=0.5 f=0.5: ann=34.71% DD=15.60% pos=5/5 [62s]
  [264] lb=72 so=0.75 r=7 p=1.0 f=0.25: ann=35.11% DD=13.53% pos=5/5 [63s]
  [266] lb=72 so=0.75 r=7 p=0.5 f=0.5: ann=34.73% DD=15.58% pos=5/5 [64s]
  [268] lb=72 so=0.75 r=14 p=1.0 f=0.25: ann=35.08% DD=13.56% pos=5/5 [64s]
  [270] lb=72 so=0.75 r=14 p=0.5 f=0.5: ann=34.70% DD=15.60% pos=5/5 [64s]
  [272] lb=72 so=1.0 r=1 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [63s]
  [274] lb=72 so=1.0 r=1 p=0.5 f=0.5: ann=35.05% DD=26.05% pos=5/5 [64s]
  [276] lb=72 so=1.0 r=3 p=1.0 f=0.25: ann=34.48% DD=13.45% pos=5/5 [63s]
